executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,view,model,side,horizon_ms,tail,eligible_oof_observations
6032,0.03121007827786615,1.0,-1.9687899217221339,0.0004973474801061008,-1183.0450903979506,-11875.740807827911,,,0,4,non_overlapping_trade_tape,obi_only,long,1000,0.02,345569
6912,0.030879107861117472,2.0,-3.9691208921388825,0.0,-2652.287489966567,-27434.563606463955,,,0,4,predictive_all_eligible,obi_only,long,1000,0.02,345569
6032,0.03121007827786615,2.0,-3.968789921722134,0.0,-2384.8443045701983,-23939.74080782791,,,0,4,non_overlapping_trade_tape,obi_only,long,1000,0.02,345569
6912,0.030879107861117916,3.0,-5.969120892138882,0.0,-3988.748415215583,-41258.563606463955,,,0,4,predictive_all_eligible,obi_only,long,1000,0.02,345569
6032,0.031210078277866593,3.0,-5.968789921722133,0.0,-3586.6435187424454,-36003.74080782791,,,0,4,non_overlapping_trade_tape,obi_only,long,1000,0.02,345569
6912,0.030879107861117916,5.0,-9.969120892138882,0.0,-6661.670265713617,-68906.56360646395,,,0,4,predictive_all_eligible,obi_only,long,1000,0.02,345569
6032,0.031210078277865705,5.0,-9.968789921722134,0.0,-5990.241947086942,-60131.74080782791,,,0,4,non_overlapping_trade_tape,obi_only,long,1000,0.02,345569
3456,0.0321575121011779,1.0,-1.967842487898822,0.0008680555555555555,-809.6416916271456,-6800.863638178329,,,0,4,predictive_all_eligible,obi_only,long,1000,0.01,345569
3193,0.03205354010433692,1.0,-1.967946459895663,0.0009395552771688068,-761.4453203514739,-6283.653046446852,,,0,4,non_overlapping_trade_tape,obi_only,long,1000,0.01,345569
3456,0.03215751210117812,2.0,-3.967842487898822,0.0,-1632.5141487531691,-13712.863638178329,,,0,4,predictive_all_eligible,obi_only,long,1000,0.01,345569
3193,0.0320535401043367,2.0,-3.9679464598956633,0.0,-1535.292918209237,-12669.653046446852,,,0,4,non_overlapping_trade_tape,obi_only,long,1000,0.01,345569
